Document Id,Event-Event Pair,Found,Found_Pair
32_2ecbplus.xml_12,arrested_43_51-r-murder_75_81,1,1.0
32_2ecbplus.xml_15,shocked_28_35-r-murders_43_50,1,1.0
32_2ecbplus.xml_27,sectioned_25_34-r-slit_81_85,1,1.0
32_2ecbplus.xml_27,allowed_106_113--tragedy_148_155,1,1.0
32_2ecbplus.xml_28,harm_60_64-r-stay_103_107,1,1.0
32_2ecbplus.xml_8,sectioned_28_37-r-suicide_attempt_56_71,1,1.0
32_2ecbplus.xml_9,mental_health_problems_46_68--locked_up_104_113,1,1.0
32_5ecbplus.xml_3,trial_14_19-r-accused_59_66,1,1.0
32_5ecbplus.xml_3,accused_59_66-r-killing_70_77,1,1.0
32_5ecbplus.xml_4,hearing_14_21-r-charged_45_52,1,1.0
32_5ecbplus.xml_4,charged_45_52-r-murders_62_69,1,1.0
32_5ecbplus.xml_9,beaten_57_63--death_67_72,1,1.0
32_5ecbplus.xml_11,charge_13_19-r-suffering_43_52,1,1.0
32_5ecbplus.xml_11,charge_13_19-r-death_91_96,1,1.0
32_5ecbplus.xml_17,at_risk_48_55-r-harm_67_71,1,1.0
32_5ecbplus.xml_17,at_risk_48_55-r-harm_95_99,1,1.0
32_5ecbplus.xml_1,TRIAL_12_17-r-DOUBLE_MURDER_38_51,1,1.0
35_2ecbplus.xml_3,arrested_46_54-r-speeding_113_121,1,1.0
35_2ecbplus.xml_8,booked_into_13_24--released_51_59,1,1.0
35_2ecbplus.xml_3,arrested_46_54-r-drunken_driving_84_99,1,1.0
35_2ecbplus.xml_8,released_51_59-r-on_bail_60_67,1,1.0
35_2ecbplus.xml_9,arrested_49_57-r-driving_under_the_influence_88_115,1,1.0
35_5ecbplus.xml_1,Arrested_26_34-r-DUI_39_42,1,1.0
35_5ecbplus.xml_4,pulled_over_13_24-r-speeding_62_70,1,1.0
35_5ecbplus.xml_6,taken_7_12--booked_45_51,1,1.0
35_5ecbplus.xml_6,booked_45_51--released_56_64,1,1.0
35_5ecbplus.xml_7,driving_34_41--stopped_108_115,1,1.0
35_5ecbplus.xml_8,DUI_19_22--arrest_31_37,1,1.0
35_5ecbplus.xml_3,arrested_45_53--driving_under_the_influence_85_112,1,1.0
35_5ecbplus.xml_6,released_56_64-r-on_bail_65_72,1,1.0
35_5ecbplus.xml_9,arrested_54_62-r-drunk_driving_67_80,1,1.0
35_11ecbplus.xml_3,arrested_63_71-r-DUI_76_79,1,1.0
35_11ecbplus.xml_4,pulled_over_23_34-r-speeding_39_47,1,1.0
35_11ecbplus.xml_6,taken_13_18--released_55_63,1,1.0
35_11ecbplus.xml_13,arrested_60_68-r-DUI_87_90,1,1.0
35_11ecbplus.xml_2,arrested_69_77-r-drunk_driving_94_107,1,1.0
35_11ecbplus.xml_6,released_55_63-r-on_bail_64_71,1,1.0
35_11ecbplus.xml_16,on_probation_30_42-r-previous_DUI_arrest_49_68,1,1.0
35_4ecbplus.xml_1,arrested_23_31--DUI_48_51,1,1.0
35_4ecbplus.xml_5,booked_into_19_30--released_53_61,1,1.0
35_4ecbplus.xml_3,arrested_87_95--drunk_driving_112_125,1,1.0
35_4ecbplus.xml_4,arrested_81_89--drunken_driving_106_121,1,1.0
35_4ecbplus.xml_5,released_53_61-r-on_bail_62_69,1,1.0
35_4ecbplus.xml_7,on_probation_58_70--previous_DUI_arrest_77_96,1,1.0
35_10ecbplus.xml_1,arrested_18_26-r-DUI_43_46,1,1.0
35_10ecbplus.xml_4,pulled_over_13_24-r-speeding_29_37,1,1.0
35_10ecbplus.xml_6,booked_into_13_24--released_47_55,1,1.0
35_10ecbplus.xml_6,released_47_55-r-bail_59_63,1,1.0
35_10ecbplus.xml_14,arrested_38_46-r-DUI_68_71,1,1.0
35_10ecbplus.xml_3,arrested_55_63-r-drunken_driving_80_95,1,1.0
35_10ecbplus.xml_16,on_probation_7_19-r-DUI_arrest_35_45,1,1.0
35_3ecbplus.xml_1,DUI_10_13--arrest_14_20,1,1.0
35_3ecbplus.xml_7,arrested_122_130--DUI_147_150,1,1.0
35_3ecbplus.xml_12,disposition_47_58-r-arrested_119_127,1,1.0
35_3ecbplus.xml_13,charges_22_29--set_97_100,1,1.0
35_3ecbplus.xml_14,stopped_53_60--speeding_65_83,1,1.0
35_3ecbplus.xml_15,Arrested_0_8--released_95_103,1,1.0
35_3ecbplus.xml_12,arrested_119_127--driving_under_the_influence_166_193,1,1.0
35_3ecbplus.xml_13,on_probation_47_59-r-prior_DUI_66_75,1,1.0
35_3ecbplus.xml_13,charges_22_29-r-on_probation_47_59,1,1.0
35_3ecbplus.xml_15,Arrested_0_8-r-drunken_driving_36_51,1,1.0
35_3ecbplus.xml_15,Arrested_0_8--booked_into_61_72,1,1.0
35_3ecbplus.xml_15,released_95_103-r-on_bond_104_111,1,1.0
35_9ecbplus.xml_4,pulled_over_20_31-r-speeding_36_44,1,1.0
35_9ecbplus.xml_7,drawn_56_61-r-arrest_83_89,1,1.0
35_9ecbplus.xml_4,arrested_124_132-r-drunk_driving_149_162,1,1.0
35_1ecbplus.xml_1,arrested_25_33-r-DUI_37_40,1,1.0
35_1ecbplus.xml_4,pulled_over_13_24-r-speeding_29_37,1,1.0
35_1ecbplus.xml_6,booked_into_13_24--released_47_55,1,1.0
35_1ecbplus.xml_14,arrested_38_46-r-DUI_68_71,1,1.0
35_1ecbplus.xml_3,arrested_45_53-r-drunken_driving_70_85,1,1.0
35_1ecbplus.xml_6,released_47_55-r-on_bail_56_63,1,1.0
35_1ecbplus.xml_16,on_probation_7_19-r-previous_DUI_arrest_26_45,1,1.0
35_6ecbplus.xml_1,DUI_28_31--Charges_32_39,1,1.0
35_6ecbplus.xml_4,misdemeanor_drunken_-_driving_65_94--charges_95_102,1,1.0
35_6ecbplus.xml_7,pulled_over_116_131-r-speeding_136_144,1,1.0
35_6ecbplus.xml_7,drawn_22_27-r-arrest_49_55,1,1.0
35_6ecbplus.xml_5,arrested_20_28-r-drunken_driving_93_108,1,1.0
35_7ecbplus.xml_1,ARRESTED_19_27-r-DUI_44_47,1,1.0
35_7ecbplus.xml_3,drunk_driving_80_93--arrest_119_125,1,1.0
35_7ecbplus.xml_4,pulled_over_13_24-r-speeding_29_37,1,1.0
35_7ecbplus.xml_6,booked_into_13_24--released_47_55,1,1.0
35_7ecbplus.xml_9,arrested_38_46--DUI_68_71,1,1.0
35_7ecbplus.xml_3,arrested_55_63-r-drunk_driving_80_93,1,1.0
35_7ecbplus.xml_6,released_47_55-r-on_bail_56_63,1,1.0
35_7ecbplus.xml_11,on_probation_7_19-r-previous_DUI_arrest_26_45,1,1.0
35_8ecbplus.xml_1,arrested_24_32--DUI_37_40,1,1.0
35_8ecbplus.xml_3,arrested_86_94-r-DUI_110_113,1,1.0
35_8ecbplus.xml_4,booked_91_97--released_108_116,1,1.0
35_8ecbplus.xml_4,released_108_116-r-on_bail_117_124,1,1.0
33_10ecbplus.xml_1,Murder_26_32-r-Shooting_62_70,1,1.0
33_10ecbplus.xml_1,Confesses_13_22-r-Murder_26_32,1,1.0
33_10ecbplus.xml_3,confessed_22_31-r-murder_52_58,1,1.0
33_10ecbplus.xml_3,protect_93_100--shielding_141_150,1,1.0
33_10ecbplus.xml_4,arrested_51_59-r-shooting_79_87,1,1.0
33_10ecbplus.xml_5,died_7_11-r-shot_29_33,1,1.0
33_10ecbplus.xml_5,shot_29_33-r-protect_78_85,1,1.0
33_10ecbplus.xml_5,protect_78_85-r-gunfire_100_107,1,1.0
33_10ecbplus.xml_11,pleased_16_23-r-statements_101_111,1,1.0
33_10ecbplus.xml_11,pleased_16_23-r-confession_139_149,1,1.0
33_10ecbplus.xml_4,shooting_79_87--claimed_the_life_150_166,1,1.0
33_11ecbplus.xml_1,Arrested_5_13-r-Shooting_17_25,1,1.0
33_11ecbplus.xml_3,confessed_35_44-r-killing_48_55,1,1.0
33_11ecbplus.xml_3,died_77_81-r-shielded_99_107,1,1.0
33_11ecbplus.xml_5,charged_15_22-r-murder_28_34,1,1.0
33_4ecbplus.xml_1,killed_26_32-r-crossfire_46_55,1,1.0
33_4ecbplus.xml_1,killed_26_32--trial_62_67,1,1.0
33_4ecbplus.xml_2,killed_18_24--accused_34_41,1,1.0
33_4ecbplus.xml_2,spraying_104_112--richocheted_170_181,1,1.0
33_4ecbplus.xml_2,killed_18_24-r-richocheted_170_181,1,1.0
33_4ecbplus.xml_4,killing_63_70-r-spraying_99_107,1,1.0
33_4ecbplus.xml_4,accused_4_11--trial_32_37,1,1.0
33_4ecbplus.xml_4,trial_32_37-r-killing_63_70,1,1.0
33_4ecbplus.xml_6,struck_31_37-r-ricocheted_70_80,1,1.0
33_4ecbplus.xml_7,targeting_20_29-r-beef_86_90,1,1.0
33_3ecbplus.xml_1,dead_51_55-r-shielding_56_65,1,1.0
33_3ecbplus.xml_1,shielding_56_65-r-attack_105_111,1,1.0
33_3ecbplus.xml_4,delayed_39_46-r-threatened_63_73,1,1.0
33_3ecbplus.xml_7,shot_35_39--staggering_58_68,1,1.0
33_3ecbplus.xml_7,shot_35_39-r-hide_100_104,1,1.0
33_3ecbplus.xml_7,hide_100_104-r-gunfire_154_161,1,1.0
33_3ecbplus.xml_8,trial_103_108-r-accused_120_127,1,1.0
33_3ecbplus.xml_8,accused_120_127-r-killing_131_138,1,1.0
33_3ecbplus.xml_8,accused_120_127-r-wounding_189_197,1,1.0
33_3ecbplus.xml_9,fired_67_72-r-orders_193_199,1,1.0
33_2ecbplus.xml_1,fatal_shooting_26_40-r-trial_54_59,1,1.0
33_2ecbplus.xml_1,trial_54_59-r-charged_71_78,1,1.0
33_2ecbplus.xml_1,charged_71_78-r-gunplay_90_97,1,1.0
33_2ecbplus.xml_3,struck_96_110-r-gunfire_120_127,1,1.0
33_2ecbplus.xml_3,struck_96_110--fell_139_143,1,1.0
33_2ecbplus.xml_4,trial_47_52-r-accused_68_75,1,1.0
33_2ecbplus.xml_4,accused_68_75-r-killing_79_86,1,1.0
33_2ecbplus.xml_5,fired_79_84-r-orders_109_115,1,1.0
33_2ecbplus.xml_7,trial_63_68-r-shooting_108_116,1,1.0
33_2ecbplus.xml_7,shooting_108_116-r-beef_173_177,1,1.0
33_5ecbplus.xml_1,guilty_12_18-r-slay_22_26,1,1.0
33_5ecbplus.xml_2,guilty_28_34-r-murder_38_44,1,1.0
33_5ecbplus.xml_3,struck_11_17-r-targeted_45_53,1,1.0
33_5ecbplus.xml_6,claiming_the_life_40_57-r-sprayed_84_91,1,1.0
33_5ecbplus.xml_7,guilty_30_36-r-slaying_40_47,1,1.0
33_5ecbplus.xml_7,guilty_30_36-r-wounding_73_81,1,1.0
33_5ecbplus.xml_8,faces_3_8-r-sentenced_52_61,1,1.0
33_5ecbplus.xml_9,death_13_18--trial_103_108,1,1.0
33_5ecbplus.xml_10,convict_41_48-r-shooting_81_89,1,1.0
33_5ecbplus.xml_6,convicted_18_27-r-claiming_the_life_40_57,1,1.0
33_7ecbplus.xml_1,killed_38_44-r-crossfire_48_57,1,1.0
33_7ecbplus.xml_2,killed_25_31-r-walking_57_64,1,1.0
33_7ecbplus.xml_3,accused_27_34-r-sprayed_46_53,1,1.0
33_7ecbplus.xml_5,killed_102_108-r-shootout_119_127,1,1.0
33_7ecbplus.xml_6,trial_38_43-r-charged_64_71,1,1.0
33_7ecbplus.xml_6,charged_64_71-r-killing_77_84,1,1.0
33_7ecbplus.xml_14,on_trial_121_129-r-murder_134_140,1,1.0
33_7ecbplus.xml_25,testimony_34_43--death_116_121,1,1.0
33_7ecbplus.xml_5,killed_102_108-r-picked_up_135_157,1,1.0
33_8ecbplus.xml_3,accused_60_67-r-killing_71_78,1,1.0
33_8ecbplus.xml_3,trial_43_48-r-accused_60_67,1,1.0
33_8ecbplus.xml_4,falling_30_37-r-gunfire_92_99,1,1.0
33_8ecbplus.xml_5,died_21_25-r-shield_36_42,1,1.0
33_8ecbplus.xml_6,charged_17_24-r-murder_73_79,1,1.0
33_9ecbplus.xml_1,guilty_24_30-r-murder_34_40,1,1.0
33_9ecbplus.xml_3,guilty_25_31-r-accused_63_70,1,1.0
33_9ecbplus.xml_3,accused_63_70-r-murdering_74_83,1,1.0
33_9ecbplus.xml_4,guilty_23_29-r-death_104_109,1,1.0
33_9ecbplus.xml_6,shot_11_15--killed_20_26,1,1.0
33_9ecbplus.xml_6,killed_20_26-r-gunfire_48_55,1,1.0
33_9ecbplus.xml_4,guilty_23_29-r-second_-_degree_murder_33_55,1,1.0
33_9ecbplus.xml_4,guilty_23_29-r-first_-_degree_assault_74_96,1,1.0
33_1ecbplus.xml_1,Fatal_Shooting_29_43--Trial_60_65,1,1.0
33_1ecbplus.xml_3,shot_45_49-r-shooting_71_79,1,1.0
33_1ecbplus.xml_3,killed_54_60-r-shooting_71_79,1,1.0
33_1ecbplus.xml_6,shooting_4_12--pushing_43_50,1,1.0
33_1ecbplus.xml_6,pushing_43_50--take_77_81,1,1.0
33_1ecbplus.xml_8,charged_69_76-r-murdering_82_91,1,1.0
33_1ecbplus.xml_11,shots_77_82-r-death_95_100,1,1.0
33_1ecbplus.xml_11,accused_51_58-r-shots_77_82,1,1.0
33_1ecbplus.xml_11,murder_22_28-r-shots_77_82,1,1.0
33_1ecbplus.xml_11,charged_9_16-r-murder_22_28,1,1.0
33_6ecbplus.xml_2,guilty_31_37-r-murder_71_77,1,1.0
33_6ecbplus.xml_2,guilty_31_37-r-injury_103_109,1,1.0
33_6ecbplus.xml_3,sentence_101_109-r-sentenced_139_148,1,1.0
33_6ecbplus.xml_4,arrested_100_108-r-shooting_130_138,1,1.0
33_6ecbplus.xml_7,shield_27_33-r-spray_51_56,1,1.0
33_6ecbplus.xml_7,shield_27_33--wounded_97_104,1,1.0
33_6ecbplus.xml_9,killed_156_162-r-crossfire_182_191,1,1.0
33_6ecbplus.xml_9,injured_167_174-r-crossfire_182_191,1,1.0
33_6ecbplus.xml_10,ordered_23_30--shoot_40_45,1,1.0
33_6ecbplus.xml_3,Convicted_0_9-r-assault_in_the_first_degree_40_67,1,1.0
33_6ecbplus.xml_3,Convicted_0_9-r-second_-_degree_murder_13_35,1,1.0
20_6ecbplus.xml_1,die'_9_13-r-quake_28_33,1,1.0
20_6ecbplus.xml_3,earthquake_11_21--injuring_112_120,1,1.0
20_6ecbplus.xml_3,earthquake_11_21--destroying_46_56,1,1.0
20_6ecbplus.xml_3,earthquake_11_21--killing_78_85,1,1.0
20_9ecbplus.xml_1,earthquake_8_18--tremor_19_25,1,1.0
20_9ecbplus.xml_3,Tremors_0_7--felt_111_115,1,1.0
20_9ecbplus.xml_3,Tremors_0_7--evacuation_147_157,1,1.0
20_9ecbplus.xml_3,Tremors_0_7-r-earthquake_16_26,1,1.0
20_1ecbplus.xml_2,dead_4_8-r-quake_26_31,1,1.0
20_1ecbplus.xml_3,earthquake_11_21--killing_46_53,1,1.0
20_1ecbplus.xml_3,earthquake_11_21--injuring_75_83,1,1.0
20_1ecbplus.xml_3,earthquake_11_21--damaging_100_108,1,1.0
20_1ecbplus.xml_6,quake_4_9--felt_52_56,1,1.0
20_1ecbplus.xml_15,tremor_12_18--aftershocks_94_105,1,1.0
20_8ecbplus.xml_1,Quake_9_14--Kills_23_28,1,1.0
20_8ecbplus.xml_1,Quake_9_14--Hurt_37_41,1,1.0
20_8ecbplus.xml_1,Quake_9_14--Damaged_57_64,1,1.0
20_8ecbplus.xml_3,earthquake_11_21--killing_100_107,1,1.0
20_8ecbplus.xml_3,earthquake_11_21--injuring_122_130,1,1.0
20_8ecbplus.xml_3,earthquake_11_21--destruction_66_77,1,1.0
20_7ecbplus.xml_2,earthquake_3_13--killing_79_86,1,1.0
20_7ecbplus.xml_2,earthquake_3_13--injuring_110_118,1,1.0
20_7ecbplus.xml_9,tremor_35_41--shake_85_90,1,1.0
20_5ecbplus.xml_3,earthquake_18_28--leveled_33_40,1,1.0
20_5ecbplus.xml_3,earthquake_18_28--killing_82_89,1,1.0
20_5ecbplus.xml_3,earthquake_18_28--wounding_105_113,1,1.0
20_5ecbplus.xml_8,temblor_9_16--aftershocks_53_64,1,1.0
20_5ecbplus.xml_8,aftershocks_53_64--panic_133_138,1,1.0
20_2ecbplus.xml_2,Aftershocks_0_11--rises_50_55,1,1.0
20_2ecbplus.xml_2,Aftershocks_0_11--death_39_44,1,1.0
20_2ecbplus.xml_3,death_89_94-r-earthquake_114_124,1,1.0
20_2ecbplus.xml_3,aftershock_10_20--rose_138_142,1,1.0
20_2ecbplus.xml_3,aftershock_10_20--death_89_94,1,1.0
20_2ecbplus.xml_4,death_8_13-r-quake_149_154,1,1.0
20_2ecbplus.xml_16,rocked_63_69-r-earthquake_93_103,1,1.0
20_2ecbplus.xml_17,registered_45_55-r-quake_58_63,1,1.0
20_2ecbplus.xml_18,earthquake_4_14--sinking_51_58,1,1.0
20_2ecbplus.xml_22,tremor_4_10--damaged_16_23,1,1.0
20_2ecbplus.xml_22,tremor_4_10--providing_99_108,1,1.0
20_2ecbplus.xml_22,tremor_4_10--service_117_124,1,1.0
20_2ecbplus.xml_18,earthquake_4_14--knocked_down_15_27,1,1.0
20_3ecbplus.xml_3,earthquake_7_17--felt_40_44,1,1.0
20_3ecbplus.xml_4,earthquake_3_13--shook_51_56,1,1.0
20_3ecbplus.xml_4,earthquake_3_13--flattening_112_122,1,1.0
20_3ecbplus.xml_4,earthquake_3_13--killing_142_149,1,1.0
20_4ecbplus.xml_1,Shelter_15_22-r-Quake_45_50,1,1.0
20_4ecbplus.xml_3,handed_out_23_33-r-earthquake_94_104,1,1.0
20_4ecbplus.xml_3,earthquake_94_104--killed_127_133,1,1.0
20_4ecbplus.xml_3,earthquake_94_104--spend_168_173,1,1.0
20_4ecbplus.xml_4,blackout_81_89--quake_104_109,1,1.0
20_4ecbplus.xml_6,tremor_60_66--felt_176_180,1,1.0
20_4ecbplus.xml_6,tremor_60_66--destroyed_75_84,1,1.0
20_4ecbplus.xml_6,tremor_60_66--damaged_88_95,1,1.0
20_10ecbplus.xml_3,"""tremor""_73_81-r-earthquake_111_121",1,1.0
20_10ecbplus.xml_3,"""tremor""_73_81--evacuation_158_168",1,1.0
20_11ecbplus.xml_1,Earthquake_0_10--Levels_11_17,1,1.0
20_11ecbplus.xml_5,killed_16_22-r-earthquake_55_65,1,1.0
20_11ecbplus.xml_5,injured_39_46-r-earthquake_55_65,1,1.0
20_11ecbplus.xml_5,earthquake_55_65--razed_66_71,1,1.0
18_11ecbplus.xml_3,killing_43_50--arrested_133_141,1,1.0
18_11ecbplus.xml_3,suspected_6_15--arrested_133_141,1,1.0
18_11ecbplus.xml_3,arrested_133_141-r-chase_163_168,1,1.0
18_11ecbplus.xml_3,shooting_19_27--killing_43_50,1,1.0
18_10ecbplus.xml_3,passed_89_95--killing_175_182,1,1.0
18_10ecbplus.xml_4,violence_14_22-r-dead_90_94,1,1.0
18_10ecbplus.xml_4,violence_14_22-r-wounded_150_157,1,1.0
18_10ecbplus.xml_4,violence_14_22-r-shot_85_89,1,1.0
18_10ecbplus.xml_6,accused_8_15-r-shooting_19_27,1,1.0
18_10ecbplus.xml_8,murder_42_48--death_56_61,1,1.0
18_10ecbplus.xml_8,charged_14_21-r-murder_42_48,1,1.0
18_8ecbplus.xml_3,opened_fire_119_130--wounding_147_155,1,1.0
18_8ecbplus.xml_3,opened_fire_119_130--killing_165_172,1,1.0
18_8ecbplus.xml_4,targeted_56_64-r-intended_96_104,1,1.0
18_8ecbplus.xml_14,fired_111_116--hitting_126_133,1,1.0
18_8ecbplus.xml_16,standing_34_42--shot_100_104,1,1.0
18_8ecbplus.xml_3,bought_19_25--opened_fire_119_130,1,1.0
18_7ecbplus.xml_1,charged_18_25-r-murder_31_37,1,1.0
18_7ecbplus.xml_1,murder_31_37-r-shootings_48_57,1,1.0
18_7ecbplus.xml_3,attack_70_76--murder_153_159,1,1.0
18_7ecbplus.xml_3,accused_19_26-r-wounding_30_38,1,1.0
18_7ecbplus.xml_3,wounding_30_38-r-attack_70_76,1,1.0
18_7ecbplus.xml_3,accused_19_26-r-killing_81_88,1,1.0
18_7ecbplus.xml_3,attack_70_76--killing_81_88,1,1.0
18_6ecbplus.xml_1,shooting_34_42--guilty_43_49,1,1.0
18_6ecbplus.xml_3,shooting_59_67--dead_119_123,1,1.0
18_6ecbplus.xml_3,shooting_59_67--wounded_150_157,1,1.0
18_6ecbplus.xml_3,convicted_18_27-r-charged_34_41,1,1.0
18_6ecbplus.xml_3,charged_34_41-r-shooting_59_67,1,1.0
18_6ecbplus.xml_4,guilty_33_39-r-murder_58_64,1,1.0
18_6ecbplus.xml_4,intent_82_88--slaying_114_121,1,1.0
18_6ecbplus.xml_4,intent_175_181--kill_185_189,1,1.0
18_6ecbplus.xml_4,kill_185_189-r-shootings_197_206,1,1.0
18_6ecbplus.xml_4,guilty_33_39-r-assault_69_76,1,1.0
18_6ecbplus.xml_4,assault_69_76-r-intent_82_88,1,1.0
18_6ecbplus.xml_4,assault_162_169-r-intent_175_181,1,1.0
18_9ecbplus.xml_1,Shooting_0_8--Hurt_52_56,1,1.0
18_9ecbplus.xml_1,Shooting_0_8--Dead_41_45,1,1.0
18_9ecbplus.xml_3,fleeing_185_192--chase_239_244,1,1.0
18_9ecbplus.xml_3,shot_144_148--killing_164_171,1,1.0
18_1ecbplus.xml_1,shooting_26_34--kills_35_40,1,1.0
18_1ecbplus.xml_1,shooting_26_34--injures_45_52,1,1.0
18_1ecbplus.xml_3,shot_15_19--death_23_28,1,1.0
18_1ecbplus.xml_3,shot_15_19--injured_44_51,1,1.0
18_3ecbplus.xml_1,Shooting_23_31--Dead_48_52,1,1.0
18_3ecbplus.xml_1,Shooting_23_31--Injured_57_64,1,1.0
18_3ecbplus.xml_3,suspected_7_16--arrested_110_118,1,1.0
18_3ecbplus.xml_3,killing_44_51--arrested_110_118,1,1.0
18_3ecbplus.xml_3,arrested_110_118-r-chase_140_145,1,1.0
18_4ecbplus.xml_1,Shot_29_33-r-Shooting_44_52,1,1.0
18_5ecbplus.xml_3,shot_52_56--killed_61_67,1,1.0
18_5ecbplus.xml_3,shot_52_56--wounded_80_87,1,1.0
18_5ecbplus.xml_3,shot_52_56--chase_190_195,1,1.0
18_2ecbplus.xml_1,hurt_11_15-r-shooting_33_41,1,1.0
18_2ecbplus.xml_1,dead_2_6-r-shooting_33_41,1,1.0
18_2ecbplus.xml_3,suspected_6_15--arrested_87_95,1,1.0
18_2ecbplus.xml_3,arrested_87_95-r-chase_135_140,1,1.0
18_2ecbplus.xml_4,died_11_15-r-attack_38_44,1,1.0
7_10ecbplus.xml_1,stops_19_24--retain_55_61,1,1.0
7_10ecbplus.xml_2,stopped_19_26--retain_63_69,1,1.0
7_10ecbplus.xml_3,floored_68_75--recovered_199_208,1,1.0
7_10ecbplus.xml_4,sixth_53_58--fight_143_148,1,1.0
7_10ecbplus.xml_4,dropped_23_30--count_117_122,1,1.0
7_10ecbplus.xml_3,floored_68_75-r-right_hand_96_106,1,1.0
7_11ecbplus.xml_1,stops_19_24--retain_55_61,1,1.0
7_11ecbplus.xml_4,floored_68_75--recovered_199_208,1,1.0
7_11ecbplus.xml_3,stopped_19_26--keep_a_hold_on_63_89,1,1.0
7_7ecbplus.xml_2,stops_19_24-r-execution_59_68,1,1.0
7_7ecbplus.xml_3,dominance_65_74-r-stoppage_100_108,1,1.0
7_7ecbplus.xml_33,rise_30_34--waved_70_75,1,1.0
7_7ecbplus.xml_34,victory_30_37--improves_69_77,1,1.0
7_7ecbplus.xml_34,victory_30_37-r-knockout_118_126,1,1.0
7_7ecbplus.xml_34,wins_96_100--knockout_118_126,1,1.0
7_7ecbplus.xml_4,punching_49_57--break_down_82_101,1,1.0
7_8ecbplus.xml_4,retained_19_27-r-stopping_77_85,1,1.0
